city_state,state_clean,city_clean,shooting_count,avg_victim_age,pct_male,pct_minority,pct_unarmed,pct_mental_illness,pct_body_camera,avg_city_population,avg_police_dollars,avg_police_city_dollars,avg_police_cnty_dollars,years_with_data,latest_year,shooting_rate_per_100k,police_budget_per_capita,budget_tercile,shooting_count_tercile,shooting_rate_tercile,budget_category,shooting_frequency,population_size,shooting_rate_category,unarmed_category,minority_category,mental_illness_category
"Rutland, VT",VT,Rutland,1,34,1,0,0,0,0,17421.585365853651,226365609.75609753,220682439.02439028,5683414.6341463393,41,2017,5.740005740005742,12993.398993398998,3,1,3,High_Budget,Few_Shootings,Small,High_Rate,None_Unarmed,Low_Minority,Rare_Mental
"Nampa, ID",ID,Nampa,2,43.5,1,0,0,0.5,0,50096.21951219513,207087073.17073169,154724390.24390244,52362195.121951222,41,2017,3.9923172236841777,4133.7864451092892,3,1,3,High_Budget,Few_Shootings,Small,High_Rate,None_Unarmed,Low_Minority,Frequent_Mental
"Burlington, VT",VT,Burlington,2,66,1,0,0,0.5,1,39885.609756097569,222781463.4146342,220327073.17073172,2453658.5365853659,41,2017,5.0143397887862227,5585.5097810201123,3,1,3,High_Budget,Few_Shootings,Small,High_Rate,None_Unarmed,Low_Minority,Frequent_Mental
"Danville, VA",VA,Danville,2,39.5,1,1,0.5,0,0.5,47408.1219512195,200234634.14634147,200234634.14634147,,41,2017,4.2186864142348774,4223.63565366231,3,1,3,High_Budget,Few_Shootings,Small,High_Rate,Many_Unarmed,High_Minority,Rare_Mental
"Jackson, MI",MI,Jackson,2,31.5,1,1,0,0.5,0,36694.804878048781,304361707.31707311,267481219.51219505,36880731.707317069,41,2017,5.4503628147002932,8294.4086588983464,3,1,3,High_Budget,Few_Shootings,Small,High_Rate,None_Unarmed,High_Minority,Frequent_Mental
"York, PA",PA,York,2,33,1,0.5,0,0.5,0,43107.146341463413,227105853.65853658,217818292.68292686,9287804.8780487813,41,2017,4.6396019447853423,5268.4038015314081,3,1,3,High_Budget,Few_Shootings,Small,High_Rate,None_Unarmed,Medium_Minority,Frequent_Mental
"Chester, PA",PA,Chester,3,29.333333333333332,1,0.66666666666666663,0,0,0,39536.317073170714,330076097.56097555,316071707.31707317,14005853.658536581,41,2017,7.5879601897360223,8348.68095958702,3,2,3,High_Budget,Medium_Shootings,Small,High_Rate,None_Unarmed,High_Minority,Rare_Mental
"Atlantic City, NJ",NJ,Atlantic City,3,31.333333333333332,1,1,0,0,0.33333333333333331,39838.146341463413,1140462926.8292682,1110114634.1463418,30348048.780487806,41,2017,7.5304708564655529,28627.409444557368,3,2,3,High_Budget,Medium_Shootings,Small,High_Rate,None_Unarmed,High_Minority,Rare_Mental
"St. Joseph, MO",MO,St. Joseph,3,31.333333333333332,0.66666666666666663,0,0.33333333333333331,0,0,74771.585365853651,190226585.36585361,139012682.92682928,51213170.731707312,41,2017,4.0122193281326712,2544.1026084318578,3,1,3,High_Budget,Few_Shootings,Small,High_Rate,Many_Unarmed,Low_Minority,Rare_Mental
"Missoula, MT",MT,Missoula,3,39.666666666666664,0.66666666666666663,0,0,0.66666666666666663,0,52861.414634146349,235511219.51219511,154733902.43902436,80777317.073170751,41,2017,5.67521701937602,4455.2576040987051,3,2,3,High_Budget,Medium_Shootings,Small,High_Rate,None_Unarmed,Low_Minority,Frequent_Mental
